Make,Model,Year,Price,Color,BodyType,WheelConf,Transmission,Fuel,Mileage,LOC,MakeModel,Make_Model_BodyType
Acura,MDX,2003,5900,Blue,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,258000,Winnepeg,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2005,3500,White,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,245000,Toronto,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2006,2800,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,270000,Toronto,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2007,5900,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,210000,Edmonton,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2008,5500,Grey,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,306000,Halifax,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2008,7400,Grey,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,262000,Calgary,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2008,7600,Blue,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,273000,Winnepeg,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2008,8990,Grey,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,189000,Halifax,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2008,9995,Silver,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,170523,Calgary,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,7990,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,220000,Halifax,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,7990,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,228000,Halifax,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,8995,White,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,228155,Edmonton,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,10750,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,187000,Halifax,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,14980,White,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,173212,Winnepeg,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2009,14995,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,116000,Regina,Acura-MDX,Acura-MDX-SUV_Crossover
Acura,MDX,2010,10950,Black,SUV_Crossover,All-wheel drive (AWD),Automatic,Gasoline,200400,Toronto,Acura-MDX,Acura-MDX-SUV_Crossover
