Make_Model_BodyType,LOC,Mileage,Year
GMC-Yukon-SUV_Crossover,Fredericton,42532,2019
BMW-5-Series-Sedan,Calgary,81448,2018
GMC-Sierra 1500-Pickup,Calgary,29908,2017
Ram-3500-Pickup,Vancouver,24267,2018
Ford-Explorer-SUV_Crossover,Regina,96418,2015
GMC-Yukon-SUV_Crossover,Edmonton,36010,2019
Volkswagen-Tiguan-SUV_Crossover,Calgary,10246,2019
Ram-1500-Pickup,Vancouver,28113,2019
BMW-X5-SUV_Crossover,Calgary,66436,2017
BMW-X3-SUV_Crossover,Toronto,36000,2017
Volkswagen-Golf-Wagon,Calgary,3142,2019
Toyota-RAV4-SUV_Crossover,Calgary,5391,2018
Volkswagen-Golf-Wagon,Edmonton,74096,2018
Ford-F-150-Pickup,Regina,119000,2009
Toyota-RAV4-SUV_Crossover,Regina,48750,2018
Toyota-Sienna-Minivan_Van,Edmonton,125000,2011
Ford-F-350-Pickup,Edmonton,56197,2019
Dodge-Grand Caravan-Minivan_Van,Edmonton,81647,2017
Ford-Escape-SUV_Crossover,Regina,67123,2018
Dodge-Grand Caravan-Minivan_Van,Calgary,40324,2017
Jeep-Wrangler-SUV_Crossover,Toronto,8128,2020
Dodge-Charger-Sedan,Vancouver,60086,2017
Jeep-Wrangler-SUV_Crossover,Calgary,6984,2019
Ford-F-150-Pickup,Halifax,115000,2009
Hyundai-Santa Fe-SUV_Crossover,Vancouver,103842,2017
Mercedes-Benz-C-Class-Sedan,Regina,98000,2015
Ford-Escape-SUV_Crossover,Winnepeg,221057,2006
Hyundai-Santa Fe-SUV_Crossover,Halifax,298668,2002
BMW-5-Series-Sedan,Calgary,79000,2011
Ford-F-150-Pickup,Winnepeg,197000,2009
BMW-5-Series-Sedan,Calgary,129000,2011
Honda-Accord-Sedan,Toronto,255000,2005
Ram-3500-Pickup,Halifax,12500,2019
Volkswagen-Golf-Hatchback,Edmonton,46773,2018
Jeep-Grand Cherokee-SUV_Crossover,Winnepeg,39096,2019
BMW-3-Series-Sedan,Toronto,293000,2004
Dodge-Grand Caravan-Minivan_Van,Winnepeg,42485,2019
BMW-5-Series-Sedan,Vancouver,130000,2011
Ford-F-150-Pickup,Regina,133725,2015
Chevrolet-Equinox-SUV_Crossover,Fredericton,314991,2011
Honda-Civic-Sedan,Halifax,220000,2008
Ford-Expedition-SUV_Crossover,Regina,13928,2019
Ford-F-150-Pickup,Edmonton,402000,2009
GMC-Terrain-SUV_Crossover,Regina,26034,2019
Nissan-Rogue-SUV_Crossover,Winnepeg,17351,2020
Volkswagen-Atlas-SUV_Crossover,Calgary,85066,2018
Ford-Escape-SUV_Crossover,Fredericton,103000,2009
Chevrolet-Traverse-SUV_Crossover,Edmonton,39967,2017
Ram-1500-Pickup,Edmonton,13108,2020
Ram-3500-Pickup,Edmonton,29900,2019
